Word,CEFR,Frequency
change,A1,9
women,?,9
taken,?,9
am,A1,9
john,?,9
person,A1,9
available,B1,9
days,?,9
international,A2,9
left,A2,9
level,B2,9
president,B1,9
amount,B1,9
figure,A2,9
family,A1,9
far,A2,9
although,A2,9
often,A1,9
cost,A2,9
special,A1,9
type,B1,9
conditions,?,9
economic,B1,9
including,B1,9
results,?,9
production,A2,9
required,?,9
history,A1,9
necessary,A2,9
find,A1,9
using,?,9
human,B1,9
air,A2,9
federal,B2,9
south,A2,9
subject,A1,9
though,A2,9
therefore,A2,9
others,?,9
m,?,9
later,A1,9
best,A1,9
rather,A2,9
name,B1,9
early,A1,9
percent,B1,9
god,B2,9
held,?,9
al,?,9
commission,B2,9
support,B1,9
provided,B1,9
policy,B1,9
chapter,A2,9
property,B1,9
book,B1,9
side,A1,9
came,?,9
thought,A2,9
always,A1,9
five,A1,9
field,A1,9
free,B2,9
known,B2,9
head,A2,9
going,?,9
due,A1,9
times,B2,9
either,B1,9
political,A2,9
around,A1,9
full,A1,9
evidence,A2,9
yet,B1,9
result,B1,9
society,A2,9
increase,A2,9
provide,A2,9
making,?,9
analysis,B1,9
put,A1,9
low,A2,9
least,B2,9
why,A1,9
body,A1,9
light,B1,9
better,A2,9
various,B1,9
problem,A1,9
matter,A2,9
t,?,9
common,A2,9
whole,B1,9
next,B2,9
want,A1,9
ii,?,9
north,A2,9
management,B1,9
white,A1,9
let,A1,9
trade,B2,9
become,A1,9
l,?,9
once,B2,9
age,A1,9
position,A2,9
tax,B1,9
class,A1,9
things,?,9
away,A1,9
cent,A2,9
d,?,9
et,?,9
done,A2,9
problems,?,9
individual,B2,9
systems,?,9
bill,B1,9
e,?,9
shown,?,9
foreign,A1,9
areas,?,9
care,B1,9
energy,B2,9
material,A2,9
show,A1,9
something,A1,9
district,B1,9
view,B1,9
association,A2,9
himself,A2,9
help,A1,9
nature,A2,9
studies,?,9
n,?,9
method,A2,9
june,A1,9
industry,B1,9
party,A1,9
money,A1,9
community,B2,9
young,A1,9
terms,?,9
market,B1,9
press,B1,9
half,A2,9
west,A2,9
major,B2,9
current,B1,9
london,?,9
words,?,9
term,B1,9
open,A1,9
date,B1,9
child,A1,9
income,B1,9
third,A2,9
along,A2,9
member,A2,9
real,A1,9
together,A1,9
paper,A1,9
seen,?,9
particular,B2,9
took,?,9
price,B2,9
building,A1,9
plan,B1,9
application,B1,9
similar,A2,9
almost,A1,9
secretary,A2,9
force,B2,9
room,B1,9
model,B1,9
look,A1,9
already,A1,9
changes,?,9
union,B1,9
products,?,9
went,?,9
bank,A2,9
short,A2,9
account,B1,9
received,?,9
experience,B1,9
test,B2,9
higher,?,9
treatment,B1,9
average,A2,9
surface,B1,9
non,?,9
death,A2,9
students,?,9
rights,?,9
purpose,A2,9
considered,?,9
central,B1,9
basis,B1,9
working,B1,9
asked,?,9
countries,?,9
food,A1,9
nothing,A1,9
street,A1,9
x,?,9
single,B1,9
face,A2,9
able,B1,9
self,A1,9
future,A1,9
council,B1,9
growth,B1,9
according,?,9
july,A1,9
english,?,9
note,A1,9
lower,B2,9
black,A1,9
itself,A2,9
past,A1,9
feet,?,9
construction,B1,9
include,A2,9
college,A1,9
true,A1,9
increased,?,9
enough,A2,9
specific,A2,9
oil,A2,9
private,A2,9
march,B1,9
pay,A1,9
groups,?,9
review,B2,9
knowledge,A2,9
authority,B1,9
read,A1,9
project,B2,9
ever,A2,9
washington,?,9
natural,A2,9
million,A2,9
training,A2,9
r,?,9
series,B1,9
population,A2,9
river,A1,9
reason,A1,9
church,A1,9
mind,A2,9
language,A1,9
structure,A2,9
design,B1,9
practice,A1,9
science,A1,9
greater,?,9
cause,A2,9
paid,B1,9
effects,?,9
range,B2,9
months,?,9
kind,A1,9
labor,A2,9
activities,?,9
near,A1,9
addition,A2,9
plant,B1,9
east,A2,9
rule,B2,9
whose,A1,9
issue,B2,9
main,B1,9
standard,B1,9
equipment,B1,9
capital,A2,9
de,?,9
medical,A2,9
size,A1,9
six,A1,9
continued,?,9
love,A1,9
father,A1,9
related,B2,9
operation,B1,9
british,?,9
got,?,9
told,?,9
century,A2,9
usually,A1,9
center,A2,9
methods,?,9
especially,A2,9
except,A2,9
contract,B2,9
themselves,A2,9
space,A2,9
described,?,9
eyes,?,9
clear,B1,9
quality,A2,9
perhaps,A2,9
personal,A1,9
mean,A1,9
statement,A2,9
art,A1,9
costs,?,9
below,A1,9
quite,A2,9
hours,?,9
america,?,9
gas,A2,9
obtained,?,9
fig,?,9
rates,?,9
administration,B1,9
meeting,A1,9
record,A2,9
function,A2,9
theory,B1,9
ground,A1,9
annual,B1,9
persons,?,9
word,A1,9
sense,B2,9
became,?,9
decision,B1,9
respect,B1,9
page,A1,9
night,A1,9
established,?,9
materials,?,9
division,B2,9
brought,?,9
values,?,9
generally,B1,9
pressure,A2,9
agreement,B1,9
complete,B1,9
financial,B1,9
probably,A2,9
works,?,9
thing,A1,9
v,?,9
corporation,B2,9
call,A2,9
road,A2,9
believe,A1,9
mother,A1,9
title,A2,9
organization,B1,9
parts,?,9
temperature,A2,9
close,A1,9
f,?,9
keep,A1,9
effective,B1,9
source,A2,9
programs,?,9
activity,A1,9
april,A1,9
additional,A2,9
distribution,B1,9
security,B1,9
workers,?,9
reported,?,9
limited,B1,9
insurance,B1,9
stock,B2,9
return,A2,9
direct,B1,9
industrial,B1,9
congress,?,9
really,A1,9
lines,?,9
performance,A2,9
developed,A2,9
resources,?,9
military,A2,9
seems,?,9
rules,?,9
king,A1,9
needs,?,9
role,A1,9
nor,B1,9
schools,?,9
co,?,9
proposed,B2,9
january,A1,9
tell,A1,9
written,B1,9
article,A1,9
journal,B1,9
j,?,9
published,?,9
situation,A2,9
woman,A1,9
loss,B1,9
today,A1,9
william,?,9
species,B2,9
g,?,9
director,A2,9
unit,A2,9
shows,?,9
included,?,9
h,?,9
requirements,?,9
points,?,9
approach,B2,9
employees,?,9
december,A1,9
condition,A2,9
physical,A2,9
toward,A2,9
gave,?,9
library,A1,9
supply,B2,9
living,B2,9
questions,?,9
began,?,9
books,?,9
attention,A2,9
saw,B2,9
fire,B2,9
follows,?,9
final,A2,9
says,?,9
employment,B1,9
letter,A1,9
volume,B1,9
heart,A1,9
forms,?,9
across,A2,9
o,?,9
outside,A2,9
normal,A2,9
chairman,A2,9
red,A2,9
late,A1,9
region,B1,9
original,B2,9
looked,?,9
code,A1,9
lord,?,9
felt,?,9
taking,?,9
staff,A2,9
blood,A2,9
laws,?,9
added,?,9
patients,?,9
product,A2,9
knew,?,9
town,A1,9
strong,A1,9
purposes,?,9
presented,?,9
significant,A2,9
ed,?,9
solution,A2,9
chief,B2,9
particularly,B1,9
notice,B1,9
involved,B1,9
provisions,?,9
issues,?,9
needed,?,9
agency,A2,9
whom,A2,9
sometimes,B1,9
october,A1,9
makes,?,9
legal,B1,9
applied,?,9
soon,A1,9
western,B2,9
sir,A1,9
recent,A2,9
french,?,9
list,B2,9
hard,A1,9
top,A1,9
week,A1,9
carried,?,9
september,A1,9
factors,?,9
feel,A1,9
length,B1,9
hands,?,9
response,A2,9
reports,?,9
anything,A1,9
determined,B2,9
modern,A2,9
associated,?,9
companies,?,9
reference,B2,9
england,?,9
civil,B1,9
difficult,A1,9
california,?,9
technology,A1,9
produced,?,9
turn,A1,9
basic,A2,9
defendant,?,9
movement,B1,9
job,A1,9
types,?,9
james,?,9
vol,?,9
likely,A2,9
levels,?,9
idea,A1,9
disease,B1,9
miles,?,9
answer,A1,9
opinion,A2,9
relations,?,9
funds,?,9
degree,A2,9
story,A1,9
potential,B1,9
front,A2,9
cells,?,9
doing,A1,9
base,B1,9
operations,?,9
longer,?,9
sales,?,9
army,B1,9
son,A1,9
post,A2,9
sure,A2,9
relationship,B1,9
planning,B2,9
influence,B2,9
run,A1,9
sea,A1,9
finally,A2,9
beginning,A2,9
ten,A1,9
meet,A1,9
iii,?,9
august,A1,9
charge,B1,9
middle,A2,9
extent,B1,9
turned,?,9
leave,A1,9
reading,A1,9
expected,B2,9
technical,B2,9
conference,B2,9
placed,?,9
provides,?,9
month,A1,9
prior,B2,9
flow,B1,9
simple,A2,9
appropriate,A2,9
moment,A1,9
consider,A2,9
fund,B1,9
cross,A2,9
difference,A1,9
protection,B1,9
re,?,9
lead,B1,9
sent,?,9
appear,A2,9
discussion,A2,9
instead,A2,9
twenty,A1,9
motion,B2,9
george,?,9
followed,?,9
behind,A1,9
character,A1,9
wide,A2,9
stage,A1,9
weight,A2,9
risk,B2,9
big,A1,9
cut,A1,9
play,A1,9
understand,A2,9
cell,B1,9
live,A1,9
beyond,A2,9
primary,B2,9
commercial,B2,9
wife,A1,9
heard,?,9
officer,A1,9
manner,A2,9
throughout,B1,9
address,B1,9
door,A1,9
european,?,9
parties,?,9
institute,B1,9
site,A1,9
prices,?,9
november,A1,9
trial,B2,9
wanted,?,9
unless,B1,9
passed,?,9
officers,?,9
direction,A2,9
trust,A2,9
hospital,A1,9
poor,A1,9
equal,B2,9
claim,A2,9
capacity,B1,9
goods,B1,9
indeed,A2,9
lost,A2,9
exchange,B1,9
box,A1,9
ways,?,9
canada,?,9
credit,A2,9
judgment,B1,9
fine,B2,9
plants,?,9
patient,A2,9
hundred,A2,9
author,A2,9
alone,A1,9
writing,A2,9
observed,?,9
car,A1,9
survey,A1,9
importance,A2,9
former,B1,9
engineering,B1,9
music,A1,9
text,A2,9
latter,A2,9
acid,B2,9
soil,B1,9
india,?,9
bring,A1,9
demand,B1,9
determine,B1,9
indian,?,9
appears,?,9
culture,A1,9
ask,A1,9
earlier,?,9
records,?,9
february,A1,9
directly,B1,9
standards,?,9
learning,B2,9
steel,B1,9
hold,A2,9
looking,?,9
units,?,9
station,A1,9
safety,B1,9
chicago,?,9
previous,B1,9
hope,B1,9
seemed,?,9
heat,B1,9
sale,A1,9
scale,A2,9
investment,B2,9
payment,B2,9
german,?,9
forces,?,9
entire,B1,9
content,B1,9
justice,B1,9
notes,?,9
existing,B2,9
sound,A2,9
rest,B1,9
proper,A2,9
facilities,B2,9
simply,A2,9
fall,A2,9
clearly,A2,9
k,?,9
agricultural,B1,9
environment,B2,9
contact,A2,9
net,B1,9
brown,A2,9
claims,?,9
minister,B2,9
actual,B2,9
larger,?,9
duty,B1,9
actually,A2,9
europe,?,9
includes,?,9
stated,?,9
operating,?,9
prepared,B1,9
seem,A2,9
earth,A2,9
assistance,B1,9
understanding,B2,9
robert,?,9
otherwise,B1,9
status,B1,9
share,A1,9
presence,B1,9
produce,A2,9
regulations,?,9
thomas,?,9
defined,?,9
nearly,A2,9
student,A1,9
benefits,?,9
continue,A2,9
require,B1,9
concerned,B1,9
elements,?,9
green,A2,9
active,B1,9
deal,B1,9
key,A1,9
consideration,B1,9
procedure,B2,9
issued,?,9
individuals,?,9
relation,B1,9
farm,A1,9
principal,B2,9
move,A2,9
mass,B2,9
factor,B2,9
phase,B2,9
hour,A1,9
transfer,B1,9
computer,A1,9
figures,?,9
compared,?,9
step,A1,9
failure,B1,9
maximum,B1,9
electric,A2,9
numbers,?,9
coming,?,9
chemical,B1,9
referred,?,9
voice,A2,9
environmental,B1,9
sources,?,9
w,?,9
china,?,9
morning,A1,9
minutes,?,9
aid,B1,9
connection,B1,9
kept,?,9
literature,B1,9
france,?,9
properties,?,9
towards,A2,9
san,?,9
independent,B1,9
news,A1,9
judge,A1,9
gives,?,9
senate,?,9
sufficient,B1,9
wall,A1,9
upper,B1,9
reduced,?,9
ago,A1,9
balance,B2,9
iron,B1,9
deep,A2,9
regard,B1,9
allowed,?,9
interests,?,9
born,?,9
peace,A1,9
complex,B1,9
plans,?,9
built,?,9
amendment,?,9
relative,B1,9
opportunity,A2,9
coal,B1,9
joint,B2,9
access,B2,9
apply,A2,9
southern,B1,9
meaning,A2,9
everything,A1,9
immediately,B1,9
distance,B1,9
teachers,?,9
lot,A1,9
seven,A1,9
behavior,A2,9
progress,B2,9
executive,B2,9
police,A2,9
nation,A2,9
charles,?,9
reached,?,9
island,A1,9
separate,B2,9
benefit,B2,9
educational,A2,9
mentioned,?,9
follow,A2,9
discussed,?,9
mr,A1,9
functions,?,9
senator,B2,9
bureau,B1,9
object,B2,9
sec,?,9
start,A1,9
friends,?,9
led,?,9
institutions,?,9
met,?,9
giving,?,9
sample,A2,9
machine,A1,9
strength,A2,9
index,B2,9
started,?,9
sections,?,9
professional,B2,9
ability,A2,9
request,B1,9
measures,?,9
plaintiff,?,9
impact,A2,9
facts,?,9
economy,B1,9
appeal,B2,9
differences,?,9
collection,A1,9
noted,?,9
designed,?,9
positive,B1,9
y,?,9
employed,?,9
eight,A1,9
religious,B1,9
estate,B2,9
cover,A2,9
measure,B1,9
official,B2,9
daily,A2,9
smith,A1,9
transportation,B1,9
parents,?,9
comes,?,9
internal,B1,9
cultural,B1,9
tests,?,9
lake,A2,9
forward,A2,9
increasing,?,9
receive,A2,9
affairs,?,9
germany,?,9
historical,B1,9
reasons,?,9
circumstances,?,9
places,?,9
description,A2,9
friend,A1,9
filed,?,9
success,A2,9
covered,?,9
caused,?,9
else,A1,9
defense,B1,9
effort,A2,9
scientific,A2,9
hearing,B1,9
events,?,9
write,A1,9
becomes,?,9
heavy,A1,9
park,A2,9
portion,B2,9
fully,A2,9
formed,?,9
examination,B1,9
provision,B2,9
housing,?,9
processes,?,9
showed,?,9
approximately,B1,9
introduction,B1,9
minimum,B1,9
develop,A2,9
efforts,?,9
moved,?,9
formation,B2,9
certainly,A2,9
fish,B1,9
initial,B1,9
fixed,B2,9
motor,B1,9
metal,A2,9
critical,B1,9
applications,?,9
allow,A2,9
agriculture,B1,9
resolution,B2,9
entitled,?,9
lack,B2,9
selected,?,9
nations,?,9
forest,A2,9
occur,B1,9
spirit,B1,9
regional,B1,9
serious,B1,9
features,?,9
try,A2,9
created,?,9
none,B1,9
considerable,B1,9
maintenance,B1,9
paul,?,9
recently,A2,9
adopted,B2,9
weeks,?,9
takes,?,9
professor,B1,9
gold,A2,9
agencies,?,9
summer,A1,9
acts,?,9
japan,?,9
projects,?,9
constant,B2,9
decided,?,9
principles,?,9
fair,B1,9
dark,A1,9
domestic,B2,9
add,A1,9
stand,A2,9
offer,A2,9
budget,A2,9
truth,A2,9
communication,A2,9
inside,A1,9
characteristics,?,9
estimated,B2,9
talk,A1,9
getting,?,9
floor,A1,9
majority,B1,9
organizations,?,9
approved,?,9
essential,B1,9
concerning,B2,9
david,?,9
spring,A1,9
reduction,B1,9
proceedings,?,9
northern,B1,9
speed,B1,9
highly,B1,9
died,?,9
worked,?,9
cold,A1,9
papers,?,9
providing,?,9
grant,B1,9
offered,?,9
indicated,?,9
file,B2,9
serve,A2,9
color,A1,9
remain,A2,9
suggested,?,9
powers,?,9
wood,A2,9
rise,B1,9
amended,?,9
bad,A1,9
letters,?,9
growing,B2,9
personnel,B2,9
africa,?,9
located,?,9
employee,B2,9
henry,?,9
expression,A2,9
teaching,B1,9
reasonable,B1,9
master,B2,9
responsible,B1,9
agent,A2,9
round,B2,9
hall,A1,9
appeared,?,9
tried,?,9
practical,B1,9
firm,B1,9
instance,B1,9
output,B2,9
ready,A1,9
pass,A2,9
principle,B1,9
commerce,B2,9
animals,?,9
useful,A2,9
items,?,9
matters,?,9
relatively,B1,9
bar,B1,9
easily,A2,9
hear,A1,9
bed,A1,9
choice,A2,9
easy,A1,9
paragraph,A1,9
carry,A1,9
expenses,?,9
event,A1,9
trying,?,9
procedures,?,9
served,?,9
frequency,B1,9
la,?,9
responsibility,B1,9
assembly,B2,9
neither,B2,9
regular,A2,9
variety,B1,9
image,A2,9
blue,A1,9
dead,A2,9
contains,?,9
teacher,A1,9
requires,?,9
thinking,?,9
attempt,B1,9
legislation,B2,9
error,A2,9
agreed,?,9
raised,?,9
reaction,B2,9
assistant,B1,9
doubt,B2,9
task,A2,9
drug,A2,9
glass,A1,9
gone,?,9
policies,?,9
assessment,B2,9
mark,A2,9
treated,?,9
containing,?,9
successful,A1,9
ideas,?,9
picture,B2,9
names,?,9
nuclear,B1,9
administrative,B2,9
arms,?,9
film,B1,9
accepted,?,9
obtain,B1,9
dollars,?,9
entered,?,9
existence,B1,9
leading,B1,9
manager,A2,9
returned,?,9
showing,?,9
christian,B1,9
u,?,9
create,A2,9
mm,?,9
stop,A1,9
location,B1,9
holding,?,9
sold,?,9
orders,?,9
banks,?,9
miss,A1,9
thereof,?,9
industries,?,9
actions,?,9
revenue,B2,9
models,?,9
election,B1,9
introduced,?,9
summary,A2,9
prevent,A2,9
fiscal,B2,9
thousand,A2,9
families,?,9
urban,B2,9
changed,?,9
soviet,B2,9
cities,?,9
exercise,A1,9
courts,?,9
evaluation,B2,9
eastern,B1,9
compensation,B2,9
standing,?,9
purchase,B2,9
square,A2,9
labour,A2,9
foundation,B1,9
remember,A1,9
myself,A2,9
lives,?,9
network,B1,9
investigation,B1,9
mental,B1,9
someone,A1,9
freedom,A2,9
closed,A1,9
copy,A2,9
whatever,B1,9
wrote,?,9
laboratory,B1,9
regulation,B1,9
chinese,?,9
sum,A1,9
determination,B1,9
interesting,A1,9
rural,B2,9
completed,?,9
ratio,?,9
pattern,B1,9
taxes,?,9
concept,B1,9
trees,?,9
remains,B2,9
dry,A2,9
lands,?,9
negative,A2,9
fuel,B1,9
publication,B2,9
hill,A1,9
completely,B1,9
expressed,?,9
merely,B1,9
accounts,?,9
developing,B2,9
experimental,?,9
subjects,?,9
conduct,B2,9
eye,A1,9
increases,?,9
classes,?,9
improvement,B1,9
rock,B2,9
correct,B2,9
relief,B2,9
representative,B1,9
articles,?,9
sun,A1,9
ohio,?,9
indicate,A2,9
fields,?,9
intended,?,9
animal,A1,9
branch,B1,9
telephone,A2,9
faith,B2,9
feeling,A1,9
speak,A1,9
techniques,?,9
wish,A2,9
appointed,?,9
secondary,B2,9
regarding,B1,9
mary,?,9
forth,B1,9
decisions,?,9
transport,B2,9
bonds,?,9
statistics,B2,9
previously,B2,9
maintain,B1,9
entirely,B1,9
girl,A1,9
contained,?,9
details,?,9
buildings,?,9
frequently,B1,9
uses,?,9
tree,A1,9
vice,B1,9
establish,A2,9
constitution,B1,9
milk,A1,9
represented,?,9
double,B2,9
performed,?,9
stress,B2,9
cash,A2,9
comparison,B1,9
foot,B1,9
aspects,?,9
interested,A1,9
fourth,?,9
coast,B1,9
boy,A1,9
somewhat,B2,9
husband,A1,9
texas,?,9
smaller,?,9
reduce,B1,9
resistance,B2,9
context,A2,9
moving,B2,9
running,A2,9
despite,B1,9
speech,A1,9
structures,?,9
authorized,?,9
removed,?,9
granted,?,9
ordinary,B1,9
concentration,B1,9
whereas,B2,9
quickly,A1,9
check,A2,9
stood,?,9
media,B2,9
percentage,B2,9
iv,?,9
saying,?,9
desire,B2,9
testing,?,9
duties,?,9
supreme,?,9
relating,?,9
richard,?,9
female,B2,9
element,B1,9
herself,A2,9
railroad,B1,9
affected,?,9
alternative,B1,9
assets,?,9
popular,A2,9
hot,A1,9
traffic,A2,9
governor,B1,9
winter,A1,9
opened,?,9
male,A2,9
steps,?,9
pain,B1,9
processing,?,9
examples,?,9
convention,B2,9
grade,B2,9
game,A1,9
stone,A1,9
traditional,A2,9
circuit,B2,9
brother,A1,9
authorities,?,9
concern,B2,9
reach,A2,9
fear,B2,9
owner,A1,9
storage,B1,9
practices,?,9
criminal,B1,9
plate,A2,9
worth,B1,9
representatives,?,9
setting,B1,9
ordered,?,9
paris,?,9
style,A2,9
definition,B1,9
medium,B1,9
ones,?,9
african,?,9
leaves,?,9
attorney,?,9
learn,A1,9
conclusion,B1,9
wrong,A2,9
village,A2,9
damage,B1,9
measured,?,9
causes,?,9
radio,A1,9
slightly,B1,9
ship,B1,9
send,A2,9
absence,B1,9
permit,B1,9
married,A2,9
thirty,A1,9
advanced,A2,9
mine,A1,9
valley,A2,9
limit,B1,9
loan,B2,9
occurred,?,9
team,A1,9
begin,A1,9
enter,A2,9
sort,B2,9
cm,?,9
tons,?,9
memory,A1,9
respectively,?,9
japanese,?,9
remained,?,9
components,?,9
clinical,?,9
payments,?,9
advantage,A2,9
search,B1,9
focus,A1,9
goes,?,9
amounts,?,9
finding,B1,9
railway,B1,9
manufacturing,B2,9
please,B1,9
spent,?,9
avoid,A2,9
connected,?,9
hair,A1,9
accordance,?,9
royal,A2,9
pages,?,9
sector,B2,9
represent,A2,9
waste,B1,9
jurisdiction,?,9
conducted,?,9
session,B1,9
britain,?,9
experiments,?,9
bottom,A1,9
selection,B1,9
opening,B1,9
yield,B2,9
extended,?,9
finance,B1,9
named,?,9
guide,B1,9
occurs,?,9
references,?,9
hence,?,9
mail,B1,9
argument,A2,9
moral,B1,9
religion,B1,9
medicine,A1,9
marked,B1,9
centre,A2,9
agents,?,9
politics,B1,9
stay,A1,9
printed,?,9
permanent,B1,9
drawn,?,9
pacific,A2,9
boston,?,9
broad,B1,9
debt,B1,9
illinois,?,9
employer,B2,9
lay,B1,9
race,B1,9
sex,B1,9
identified,?,9
reserve,B1,9
specified,?,9
marriage,B1,9
equation,B2,9
drive,A2,9
directed,?,9
suggest,A2,9
highest,?,9
van,B1,9
skin,B1,9
season,B1,9
mouth,A1,9
learned,?,9
institution,B2,9
combination,B1,9
recognized,?,9
st,?,9
visit,A1,9
resulting,?,9
welfare,B2,9
rose,A1,9
accept,A2,9
statute,?,9
exist,A2,9
attack,A2,9
nine,A1,9
submitted,?,9
subsequent,?,9
failed,?,9
houses,?,9
vote,B1,9
leaders,?,9
ca,?,9
impossible,A2,9
extension,B2,9
mexico,?,9
gain,B1,9
samples,?,9
virginia,?,9
largely,B1,9
port,B1,9
piece,A1,9
wind,B2,9
commissioner,?,9
competition,A2,9
charges,?,9
supplies,?,9
shape,B1,9
older,?,9
conflict,B1,9
greatest,?,9
detailed,B2,9
studied,?,9
external,B2,9
engaged,B1,9
origin,B1,9
bit,A2,9
solid,B1,9
statements,?,9
christ,?,9
travel,A1,9
multiple,B2,9
controlled,?,9
lived,?,9
numerous,B1,9
vehicle,B1,9
evening,A1,9
hon,?,9
substantial,B1,9
editor,A2,9
supported,?,9
adequate,B2,9
preparation,B1,9
agree,A1,9
views,?,9
jesus,?,9
command,B1,9
recorded,?,9
club,A1,9
efficiency,B1,9
native,A2,9
possibility,B1,9
republic,B1,9
happened,?,9
sat,?,9
documents,?,9
scheme,B2,9
combined,?,9
derived,?,9
item,A1,9
contracts,?,9
establishment,B1,9
usual,A2,9
contain,B1,9
citizens,?,9
thank,A1,9
anyone,A1,9
everyone,A1,9
corresponding,B2,9
composition,B1,9
rich,A1,9
daughter,A1,9
pre,?,9
signal,B1,9
estimate,B1,9
filled,?,9
boys,?,9
electrical,B1,9
counsel,?,9
sites,?,9
overall,B2,9
apparently,A2,9
depth,B1,9
interpretation,B2,9
sign,B1,9
collected,?,9
officials,?,9
explain,A2,9
load,B2,9
chance,A2,9
brief,B1,9
entry,B1,9
kingdom,A2,9
improve,A2,9
edge,B1,9
global,B1,9
experiment,B2,9
injury,B1,9
consumption,B1,9
phone,A1,9
grand,B2,9
leaving,?,9
bond,B1,9
immediate,B1,9
liability,?,9
communities,?,9
believed,?,9
limits,?,9
applicable,?,9
plus,A2,9
bound,B1,9
profit,B2,9
contrast,A2,9
express,B1,9
relationships,?,9
fast,A1,9
joseph,?,9
relevant,B2,9
properly,B1,9
canadian,?,9
australia,?,9
generation,A2,9
positions,?,9
objects,?,9
release,B1,9
zone,A2,9
inches,?,9
map,A1,9
bridge,A1,9
laid,?,9
appearance,A2,9
block,B1,9
improved,B2,9
moreover,B1,9
peter,?,9
largest,?,9
edition,B1,9
excess,B1,9
concrete,B2,9
detail,A2,9
reality,B1,9
bodies,?,9
owned,?,9
quantity,B1,9
layer,B1,9
proof,B1,9
assumed,?,9
johnson,?,9
gross,B2,9
patterns,?,9
brain,A1,9
girls,?,9
beautiful,A1,9
liquid,B1,9
advance,B1,9
passage,A2,9
affect,B1,9
sub,?,9
window,A1,9
lady,A1,9
suitable,A2,9
organized,A2,9
markets,?,9
density,?,9
typical,B1,9
territory,B2,9
